Ref,Val,Package,PosX,PosY,Rot,Side
"12V","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",159.230000,-87.775000,0.000000,top
"BOTONERA","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",226.770000,-91.210000,180.000000,top
"C2","22u","C_0805_2012Metric",224.750000,-124.660000,-90.000000,top
"C3","15p","C_0805_2012Metric",202.180000,-113.020000,-90.000000,top
"C4","10u","C_0805_2012Metric",161.900000,-80.450000,90.000000,top
"C5","15p","C_0805_2012Metric",206.530000,-113.020000,-90.000000,top
"C6","10u","C_0805_2012Metric",166.499798,-91.525712,180.000000,top
"C7","10u","C_0805_2012Metric",164.890000,-82.030000,0.000000,top
"C10","10u","C_0805_2012Metric",169.530000,-81.400000,180.000000,top
"C11","10u","C_0805_2012Metric",169.520000,-79.180000,180.000000,top
"C12","10u","C_0805_2012Metric",183.210000,-87.270000,-90.000000,top
"C13","10u","C_0805_2012Metric",224.650000,-118.980000,0.000000,top
"C14","1u","C_0805_2012Metric",212.740000,-127.130000,-90.000000,top
"CAN","DE9_Pins","DSUB-9_Pins_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm",188.580000,-119.004669,0.000000,top
"D1","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",181.730000,-113.030000,90.000000,top
"D2","DPM-1","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",184.060000,-94.540000,90.000000,top
"DPA1","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.459798,-95.435712,0.000000,top
"DPA2","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",174.639798,-92.208212,0.000000,top
"DPM+1","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",170.850000,-95.460000,180.000000,top
"DPM+2","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",181.952500,-108.960000,0.000000,top
"DPM-1","D","D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.840000,-108.980000,180.000000,top
"DR1","LED","LED_0805_2012Metric",196.800000,-92.940000,90.000000,top
"DR2","LED","LED_0805_2012Metric",178.800000,-78.337500,-90.000000,top
"K1","A161CS12VDC.64","RELAY_A161CS12VDC.64",172.097500,-115.610000,0.000000,top
"L1","1,5u","L_0805_2012Metric",167.227500,-83.940000,0.000000,top
"MCLR","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",207.220000,-80.160000,90.000000,top
"MOTOR","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",159.520000,-99.965000,0.000000,top
"PROGRAMACIÓ","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",203.550000,-88.720000,90.000000,top
"Q1","IRLZ34N","SOT95P237X112-3N",181.930000,-117.335000,-90.000000,top
"Q2","IRLZ34N","TO-220-3_Vertical",171.840000,-98.920000,180.000000,top
"Q3","IRLZ34N","TO-220-3_Vertical",177.750000,-106.325000,0.000000,top
"Q4","IRLZ34N","TO-220-3_Vertical",171.910000,-104.415000,180.000000,top
"Q5","IRLZ34N","TO-220-3_Vertical",177.760000,-100.760000,0.000000,top
"R CALEFACTABLE","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",159.950000,-114.385000,0.000000,top
"R2","R","R_0805_2012Metric",197.710000,-89.830000,0.000000,top
"R3","2.7k","R_0805_2012Metric",225.157500,-114.150000,0.000000,top
"R4","1k","R_0805_2012Metric",161.809798,-84.115712,180.000000,top
"R5","2.7k","R_0805_2012Metric",217.662500,-114.100000,180.000000,top
"R6","200k","R_0805_2012Metric",216.387500,-110.160000,0.000000,top
"R7","2.7k","R_0805_2012Metric",216.502500,-107.650000,0.000000,top
"R8","1k","R_0805_2012Metric",174.650000,-83.430000,180.000000,top
"R9","1k","R_0805_2012Metric",172.760000,-78.200000,-90.000000,top
"R10","680","R_0805_2012Metric",175.805000,-78.297500,90.000000,top
"R11","1k","R_0805_2012Metric",170.659798,-89.475712,-90.000000,top
"R12","2.7k","R_0805_2012Metric",216.412500,-104.430000,180.000000,top
"R13","1k","R_0805_2012Metric",184.280000,-113.070000,90.000000,top
"R14","1k","R_0805_2012Metric",192.972500,-94.330000,0.000000,top
"R15","1k","R_0805_2012Metric",188.732500,-100.430000,180.000000,top
"R16","1k","R_0805_2012Metric",192.972500,-91.460000,180.000000,top
"R17","1k","R_0805_2012Metric",198.840000,-116.390000,180.000000,top
"R18","2k","R_0805_2012Metric",188.732500,-98.080000,0.000000,top
"R19","1k","R_0805_2012Metric",190.890000,-108.952500,-90.000000,top
"R20","2k","R_0805_2012Metric",197.572500,-95.940000,0.000000,top
"R21","1k","R_0805_2012Metric",190.980000,-112.742500,-90.000000,top
"R22","120R","R_0805_2012Metric",195.217500,-116.220000,0.000000,top
"RMCLR1","1k","R_0805_2012Metric",193.820000,-81.350000,-90.000000,top
"R_shunt1","0.005R","R_Shunt_Vishay_WSK2512_6332Metric_T2.21mm",188.000000,-92.145000,90.000000,top
